"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"CHMP1B" 0 1.19197768458034 0.508 0.258 0 "0" "CHMP1B"
"HLA-DQA2" 0 1.19049523890586 0.372 0.041 0 "0" "HLA-DQA2"
"RB1" 0 1.1768680277411 0.503 0.105 0 "0" "RB1"
"C2" 0 1.16497877027627 0.414 0.041 0 "0" "C2"
"NFKBIZ" 0 1.15361587448897 0.46 0.177 0 "0" "NFKBIZ"
"HIF1A" 0 1.15230004166746 0.597 0.295 0 "0" "HIF1A"
"PTGS2" 0 1.15051098924536 0.277 0.052 0 "0" "PTGS2"
"NPL" 0 1.14632949003522 0.467 0.062 0 "0" "NPL"
"RNASE6" 0 1.14235934650453 0.552 0.129 0 "0" "RNASE6"
"LTC4S" 0 1.13633611499516 0.456 0.1 0 "0" "LTC4S"
"BCL2A1" 0 1.13561889611798 0.355 0.053 0 "0" "BCL2A1"
"OTUD1" 0 1.13503912436068 0.424 0.111 0 "0" "OTUD1"
"PHACTR1" 0 1.13455198980439 0.422 0.065 0 "0" "PHACTR1"
"LCP2" 0 1.12735168163618 0.45 0.071 0 "0" "LCP2"
"LPAR6" 0 1.12234431120875 0.501 0.117 0 "0" "LPAR6"
"CD86" 0 1.113596626012 0.484 0.064 0 "0" "CD86"
"THBD" 0 1.11262026860761 0.313 0.083 0 "0" "THBD"
"RGS2" 0 1.1031049725711 0.597 0.297 0 "0" "RGS2"
"TMEM176A" 0 1.09942353305427 0.443 0.074 0 "0" "TMEM176A"
"SPI1" 0 1.08761454958978 0.635 0.16 0 "0" "SPI1"
"ITM2B" 0 1.08707071654466 0.928 0.777 0 "0" "ITM2B"
"IL18" 0 1.08692307965936 0.438 0.045 0 "0" "IL18"
"OGFRL1" 0 1.08562526148242 0.461 0.09 0 "0" "OGFRL1"
"TPP1" 0 1.08273580139375 0.602 0.233 0 "0" "TPP1"
"FCGR2B" 0 1.07766728566506 0.348 0.043 0 "0" "FCGR2B"
"CTSC" 0 1.07732307546009 0.747 0.487 0 "0" "CTSC"
"MMP19" 0 1.07533368211388 0.261 0.06 0 "0" "MMP19"
"ARRB2" 0 1.07189994208437 0.523 0.105 0 "0" "ARRB2"
"HNMT" 0 1.07060089746977 0.605 0.252 0 "0" "HNMT"
"EGR2" 0 1.07009646102238 0.261 0.042 0 "0" "EGR2"
"NRP1" 0 1.06989528541479 0.496 0.121 0 "0" "NRP1"
"ABL2" 0 1.06396900315709 0.362 0.137 0 "0" "ABL2"
"TNFAIP2" 0 1.06302622975308 0.434 0.095 0 "0" "TNFAIP2"
"NR4A1" 0 1.06153841669721 0.525 0.244 0 "0" "NR4A1"
"TTYH3" 0 1.05425471717229 0.474 0.128 0 "0" "TTYH3"
"ATF3" 0 1.05076336571326 0.554 0.251 0 "0" "ATF3"
"LGALS9" 0 1.05066532476421 0.51 0.104 0 "0" "LGALS9"
"AP1B1" 0 1.04720039233667 0.472 0.102 0 "0" "AP1B1"
"HCST" 0 1.04606679561034 0.612 0.169 0 "0" "HCST"
"EGR1" 0 1.04352568223495 0.567 0.334 0 "0" "EGR1"
"PRDM1" 0 1.04319226483702 0.374 0.093 0 "0" "PRDM1"
"ARHGDIB" 0 1.03830989695 0.759 0.309 0 "0" "ARHGDIB"
"SIRPA" 0 1.03827321966641 0.467 0.075 0 "0" "SIRPA"
"MERTK" 0 1.03028939238202 0.385 0.025 0 "0" "MERTK"
"YWHAH" 0 1.02696691817324 0.647 0.369 0 "0" "YWHAH"
"PLXDC2" 0 1.02448569782257 0.485 0.107 0 "0" "PLXDC2"
"CREM" 0 1.01148242847958 0.531 0.216 0 "0" "CREM"
"CFLAR" 0 1.00975320229113 0.502 0.217 0 "0" "CFLAR"
"REL" 0 1.00432335994806 0.511 0.184 0 "0" "REL"
"CLEC7A" 0 1.00198280878586 0.416 0.059 0 "0" "CLEC7A"
"FABP5" 0 1.00109912284787 0.693 0.585 0 "0" "FABP5"
"PILRA" 0 0.994085237548113 0.412 0.042 0 "0" "PILRA"
"MCL1" 0 0.985370230073185 0.651 0.403 0 "0" "MCL1"
"UCP2" 0 0.98389595006885 0.499 0.129 0 "0" "UCP2"
"APLP2" 0 0.982869584137193 0.741 0.474 0 "0" "APLP2"
"RHOB" 0 0.977275782229301 0.611 0.371 0 "0" "RHOB"
"KCTD12" 0 0.97502589326826 0.598 0.304 0 "0" "KCTD12"
"SNX6" 0 0.969489672980872 0.661 0.41 0 "0" "SNX6"
"TXNIP" 0 0.967975666132893 0.59 0.324 0 "0" "TXNIP"
"CD81" 0 0.967360506565287 0.743 0.515 0 "0" "CD81"
"GNA13" 0 0.959766672251659 0.435 0.11 0 "0" "GNA13"
"MPP1" 0 0.959271202364476 0.457 0.118 0 "0" "MPP1"
"PPP1R15A" 0 0.950397144037886 0.695 0.443 0 "0" "PPP1R15A"
"CD44" 0 0.949061927788988 0.579 0.302 0 "0" "CD44"
"RASGEF1B" 0 0.947972192219428 0.401 0.077 0 "0" "RASGEF1B"
"TMIGD3" 0 0.946576542487138 0.263 0.019 0 "0" "TMIGD3"
"HLA-E" 0 0.94535777297094 0.815 0.519 0 "0" "HLA-E"
"LILRB5" 0 0.941918265341424 0.309 0.01 0 "0" "LILRB5"
"MARCH1" 0 0.94086698330533 0.38 0.037 0 "0" "MARCH1"
"IQGAP2" 0 0.939822590172991 0.444 0.089 0 "0" "IQGAP2"
"BMP2K" 0 0.939748290235447 0.474 0.146 0 "0" "BMP2K"
"IER5" 0 0.932915587742682 0.586 0.304 0 "0" "IER5"
"CEBPD" 0 0.931467282926351 0.688 0.405 0 "0" "CEBPD"
"GNAI2" 0 0.928156837525777 0.719 0.495 0 "0" "GNAI2"
"HSPH1" 0 0.918748703148667 0.595 0.388 0 "0" "HSPH1"
"GRB2" 0 0.915513209561228 0.574 0.271 0 "0" "GRB2"
"HCLS1" 0 0.915409798456716 0.504 0.128 0 "0" "HCLS1"
"LYN" 0 0.911911328138366 0.44 0.083 0 "0" "LYN"
"NCF4" 0 0.910631978868659 0.432 0.079 0 "0" "NCF4"
"TNFRSF1B" 0 0.904457430371181 0.464 0.083 0 "0" "TNFRSF1B"
"ZEB2" 0 0.900331968270849 0.604 0.32 0 "0" "ZEB2"
"SERPINB9" 0 0.899651193860909 0.339 0.055 0 "0" "SERPINB9"
"SIGLEC1" 0 0.897138224562806 0.327 0.017 0 "0" "SIGLEC1"
"PTPRE" 0 0.894718429907391 0.46 0.118 0 "0" "PTPRE"
"NCKAP1L" 0 0.885065093334399 0.445 0.092 0 "0" "NCKAP1L"
"LIMS1" 0 0.884939867236546 0.625 0.372 0 "0" "LIMS1"
"IFI30" 0 0.884203354404107 0.292 0.066 0 "0" "IFI30"
"NLRP3" 0 0.880463685057649 0.286 0.025 0 "0" "NLRP3"
"MGAT1" 0 0.880244193845229 0.548 0.262 0 "0" "MGAT1"
"SLC15A3" 0 0.878638245776238 0.385 0.039 0 "0" "SLC15A3"
"TMSB4X" 0 0.874717559158472 0.999 0.978 0 "0" "TMSB4X"
"DUSP2" 0 0.871680170666608 0.477 0.206 0 "0" "DUSP2"
"SLC11A1" 0 0.869498982270284 0.323 0.039 0 "0" "SLC11A1"
"NFE2L2" 0 0.865286347794285 0.537 0.282 0 "0" "NFE2L2"
"RAP2B" 0 0.865026984033205 0.466 0.168 0 "0" "RAP2B"
"RBM47" 0 0.858609778327862 0.386 0.062 0 "0" "RBM47"
