"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"TIMM8B" 6.07463550754447e-17 0.663320797629125 0.319 0.3 1.42140396241033e-12 "0" "TIMM8B"
"RGCC" 6.60498585895576e-17 0.364260539001207 0.525 0.508 1.54550064113706e-12 "0" "RGCC"
"C6orf48" 2.03254128530765e-16 0.435020614529672 0.283 0.245 4.75594335349137e-12 "0" "C6orf48"
"ATP5ME" 2.49265512301403e-16 0.429016980128759 0.472 0.479 5.83256372234052e-12 "0" "ATP5ME"
"TUBA1A" 6.56880375934786e-16 0.313704629597331 0.438 0.414 1.53703439164981e-11 "0" "TUBA1A"
"SLC25A6" 1.00682513714971e-14 0.253829648581283 0.66 0.702 2.35587013841659e-10 "0" "SLC25A6"
"ZFAS1" 1.10929130162079e-14 0.285865390428856 0.527 0.527 2.59563071666248e-10 "0" "ZFAS1"
"COPS3" 2.7845761985356e-14 0.607303371220099 0.252 0.228 6.51562984695346e-10 "0" "COPS3"
"ATP5MPL" 1.86735767543364e-13 0.46267491010262 0.485 0.509 4.36943022474717e-09 "0" "ATP5MPL"
"SLIRP" 3.32488099861482e-13 0.548235529566752 0.281 0.258 7.77988904865881e-09 "0" "SLIRP"
"PSMD4" 1.11823896637177e-12 0.597455048845485 0.333 0.329 2.61656735741331e-08 "0" "PSMD4"
"SKP1" 1.36545198087647e-12 0.278584508444789 0.628 0.672 3.19502109005284e-08 "0" "SKP1"
"LDHB" 5.28693684395768e-11 0.297456884426212 0.546 0.585 1.23709035211766e-06 "0" "LDHB"
"ENO1" 1.67164828792824e-10 0.25408683344085 0.609 0.633 3.9114898289233e-06 "0" "ENO1"
"NOP53" 1.96555933365326e-10 0.278304114082133 0.515 0.549 4.59921228481527e-06 "0" "NOP53"
"APRT" 2.49214316771833e-10 0.272963066978934 0.54 0.577 5.83136579814411e-06 "0" "APRT"
"ATP5PO" 2.49492066694429e-10 0.395750075604349 0.47 0.491 5.83786486858295e-06 "0" "ATP5PO"
"MZT2B" 1.20357828421976e-09 0.25138141799631 0.608 0.645 2.81625282724581e-05 "0" "MZT2B"
"MZT2A" 3.84145103123747e-09 0.349332465532834 0.423 0.43 8.98861126799254e-05 "0" "MZT2A"
"TSC22D3" 9.8355715596033e-08 0.277170460737056 0.554 0.588 0.00230142538923158 "0" "TSC22D3"
"NDUFA3" 2.68967476031218e-07 0.441330350220741 0.338 0.343 0.00629356997165447 "0" "NDUFA3"
"LMNA" 1.42081176538276e-06 0.27458045333688 0.35 0.346 0.0332455744981911 "0" "LMNA"
"PABPC1" 5.70140309615905e-06 0.271612308655148 0.575 0.644 0.133407131047026 "0" "PABPC1"
"COX7A2" 8.77901897004083e-06 0.268747306632453 0.606 0.675 0.205420264879985 "0" "COX7A2"
"GADD45GIP1" 1.0996934589263e-05 0.406167060015529 0.387 0.412 0.257317272454164 "0" "GADD45GIP1"
"NDUFB4" 1.34102509422929e-05 0.386117097032964 0.427 0.464 0.313786461798711 "0" "NDUFB4"
"PRDX4" 4.33534566576471e-05 0.388546088338551 0.281 0.277 1 "0" "PRDX4"
"EML4" 0.000137541557518679 0.272095921377127 0.252 0.242 1 "0" "EML4"
"SNRPF" 0.000156103924929895 0.297502817791676 0.366 0.376 1 "0" "SNRPF"
"COX6B1" 0.000232309563533276 0.274571044049462 0.591 0.659 1 "0" "COX6B1"
"LSM7" 0.000477452596020806 0.343146142146033 0.439 0.483 1 "0" "LSM7"
"PSMB4" 0.000874069498380625 0.453731981662834 0.301 0.32 1 "0" "PSMB4"
"ATP5MF" 0.00118835178445693 0.348286458508784 0.466 0.517 1 "0" "ATP5MF"
"SNRPD1" 0.00120154625167889 0.381846161557882 0.372 0.4 1 "0" "SNRPD1"
"TIMM13" 0.00182259029877567 0.421851660331424 0.265 0.275 1 "0" "TIMM13"
"NDUFB9" 0.00185345307222468 0.382462539106998 0.294 0.308 1 "0" "NDUFB9"
"SLC2A3" 0.00213141501117851 0.274184561556311 0.315 0.314 1 "0" "SLC2A3"
"KRTCAP2" 0.00293831458947977 0.371009403954277 0.284 0.299 1 "0" "KRTCAP2"
"SNRPG" 0.00333560708110168 0.313510494939364 0.443 0.487 1 "0" "SNRPG"
"TMED9" 0.00375299811802637 0.288232456876811 0.301 0.38 1 "0" "TMED9"
"ATP5MD" 0.00707616572617599 0.263318970689095 0.454 0.502 1 "0" "ATP5MD"
"TMEM14B" 0.00870364904254658 0.325789174729727 0.302 0.321 1 "0" "TMEM14B"
"GZMK" 0 2.15422461754729 0.815 0.271 0 "1" "GZMK"
"CCL5" 0 2.13570922039474 0.978 0.496 0 "1" "CCL5"
"CD8A" 0 1.93809402071193 0.733 0.154 0 "1" "CD8A"
"GZMA" 0 1.85731130671115 0.936 0.421 0 "1" "GZMA"
"CD8B" 0 1.84527666847987 0.647 0.123 0 "1" "CD8B"
"GZMH" 0 1.83729553730326 0.724 0.179 0 "1" "GZMH"
"NKG7" 0 1.81795059484054 0.898 0.348 0 "1" "NKG7"
"TRAC" 0 1.57378021061952 0.643 0.301 0 "1" "TRAC"
"LAG3" 0 1.47251084450963 0.433 0.097 0 "1" "LAG3"
"APOBEC3G" 0 1.44738827917912 0.726 0.308 0 "1" "APOBEC3G"
"CD27" 0 1.40225627468549 0.649 0.278 0 "1" "CD27"
"RARRES3" 0 1.38591753690569 0.758 0.405 0 "1" "RARRES3"
"CST7" 0 1.27670853637417 0.847 0.376 0 "1" "CST7"
"CD3D" 0 1.17386032343896 0.924 0.561 0 "1" "CD3D"
"CD3G" 0 1.14659832201875 0.728 0.34 0 "1" "CD3G"
"PSMB9" 0 1.12887518196806 0.806 0.484 0 "1" "PSMB9"
"CCL4" 0 1.08187488467435 0.774 0.328 0 "1" "CCL4"
"CD2" 0 1.07135769484787 0.855 0.481 0 "1" "CD2"
"HCST" 0 0.997080875951078 0.897 0.589 0 "1" "HCST"
"HLA-A" 0 0.940902592089064 0.997 0.939 0 "1" "HLA-A"
"PTPRC" 0 0.926689599510755 0.902 0.611 0 "1" "PTPRC"
"HLA-C" 0 0.753051617219792 0.994 0.921 0 "1" "HLA-C"
"B2M" 0 0.478866389810235 1 0.998 0 "1" "B2M"
"COTL1" 1.33263590204392e-305 1.18266246864038 0.73 0.395 3.11823474719258e-301 "1" "COTL1"
"CLEC2B" 3.84955466562652e-292 1.22706471639664 0.701 0.379 9.00757296209949e-288 "1" "CLEC2B"
"DUSP4" 2.51933195235322e-285 1.27170354127899 0.511 0.185 5.8949848353113e-281 "1" "DUSP4"
"IL32" 9.02047189895615e-281 0.728663915197161 0.95 0.662 2.11070021963675e-276 "1" "IL32"
"GZMB" 1.28681892755902e-279 1.30983582177894 0.54 0.196 3.01102760859534e-275 "1" "GZMB"
"HLA-DRB1" 1.23026254202634e-274 0.75285170974798 0.806 0.429 2.87869132208743e-270 "1" "HLA-DRB1"
"PRF1" 2.63965414624223e-265 1.14498200244581 0.535 0.21 6.17652673679219e-261 "1" "PRF1"
"EVL" 3.9233998621447e-250 0.982488080406638 0.724 0.419 9.18036333743238e-246 "1" "EVL"
"OASL" 1.95748131463855e-241 1.15278464954418 0.362 0.11 4.58031052812274e-237 "1" "OASL"
"RGS1" 1.31260211306992e-238 0.996841556491447 0.774 0.494 3.07135768437231e-234 "1" "RGS1"
"HLA-DPB1" 2.76604794134057e-237 0.799281011155122 0.729 0.385 6.4722755779428e-233 "1" "HLA-DPB1"
"CCL4L2" 5.9149606581973e-233 1.28624561462141 0.459 0.169 1.38404164441159e-228 "1" "CCL4L2"
"CORO1A" 2.68901820675592e-230 0.838294141402811 0.851 0.601 6.29203370198818e-226 "1" "CORO1A"
"CD3E" 6.17120004987118e-225 0.868510280707561 0.734 0.421 1.44399909966936e-220 "1" "CD3E"
"HLA-B" 2.56906736447664e-214 0.562487534231384 0.995 0.938 6.0113607261389e-210 "1" "HLA-B"
"HLA-E" 2.01165643589326e-212 0.656562553339183 0.949 0.797 4.70707489434664e-208 "1" "HLA-E"
"CLEC2D" 4.92073309140565e-211 0.994884074302672 0.616 0.33 1.15140233605801e-206 "1" "CLEC2D"
"SH3BGRL3" 1.87172059560156e-203 0.721190829856074 0.942 0.809 4.37963902164809e-199 "1" "SH3BGRL3"
"METRNL" 2.31910265571964e-203 1.09025292515531 0.542 0.26 5.4264683041184e-199 "1" "METRNL"
"TRBC2" 5.21720465329973e-199 1.06128307773714 0.577 0.29 1.2207737168256e-194 "1" "TRBC2"
"HLA-DPA1" 3.37048739534024e-198 0.673451382598462 0.704 0.389 7.88660345635662e-194 "1" "HLA-DPA1"
"PDCD1" 1.7651451193214e-196 0.955907047444503 0.279 0.076 4.13026306470014e-192 "1" "PDCD1"
"IKZF3" 7.4605248690821e-193 0.964509680945923 0.397 0.154 1.74568821411652e-188 "1" "IKZF3"
"CLIC1" 4.84341653386509e-190 0.703495520657011 0.865 0.658 1.13331103475909e-185 "1" "CLIC1"
"LYST" 8.20557208322947e-189 0.927436787956895 0.382 0.144 1.92002181175486e-184 "1" "LYST"
"FYB1" 3.31611642264048e-186 0.898691693416468 0.637 0.362 7.75938081733646e-182 "1" "FYB1"
"RNF213" 4.75964111333301e-186 0.943675952161673 0.626 0.369 1.11370842410879e-181 "1" "RNF213"
