"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"TMX2" 3.365187427087e-185 0.258830193353681 0.627 0.278 7.87420206064087e-181 "0" "TMX2"
"TMEM206" 3.37209493794393e-185 0.279121884938467 0.606 0.263 7.89036494529501e-181 "0" "TMEM206"
"HYAL2" 3.92087043012469e-185 0.291079289030813 0.702 0.331 9.17444471944877e-181 "0" "HYAL2"
"GAPDH" 5.82614854476442e-184 0.450240433629119 0.999 0.976 1.36326049798943e-179 "0" "GAPDH"
"EEPD1" 1.46588484879098e-183 0.262094107484028 0.57 0.236 3.43002395768602e-179 "0" "EEPD1"
"MDH1" 4.43705720868844e-183 0.435825818318873 0.924 0.603 1.03822701626101e-178 "0" "MDH1"
"RHOG" 1.78506606195969e-182 0.298360983993893 0.726 0.36 4.17687607837949e-178 "0" "RHOG"
"PLEKHB2" 3.48549506820533e-181 0.283178833464554 0.709 0.347 8.15570991009365e-177 "0" "PLEKHB2"
"MRPL17" 6.52522524299786e-181 0.272597353422871 0.683 0.324 1.52683745460907e-176 "0" "MRPL17"
"SDHC" 1.21649295398521e-180 0.277999587454155 0.762 0.391 2.84647186303e-176 "0" "SDHC"
"RGS19" 1.28342704556986e-180 0.2608050542553 0.712 0.336 3.00309094392892e-176 "0" "RGS19"
"MID1IP1" 1.38549872428482e-180 0.343764940861785 0.764 0.382 3.24192846495404e-176 "0" "MID1IP1"
"CYCS" 2.27934001064541e-180 0.453347935896531 0.974 0.77 5.33342769090919e-176 "0" "CYCS"
"MLF2" 2.36111516492931e-180 0.282679107860929 0.735 0.369 5.52477337441809e-176 "0" "MLF2"
"PSMD7" 3.61111060116916e-180 0.307708805148447 0.815 0.444 8.44963769567572e-176 "0" "PSMD7"
"NDUFA7" 3.32748139115668e-179 0.318140161494019 0.723 0.365 7.78597370716752e-175 "0" "NDUFA7"
"PLIN3" 2.19633124451144e-178 0.296911255569034 0.757 0.383 5.13919547903231e-174 "0" "PLIN3"
"RDX" 2.77371245578473e-178 0.383198323626642 0.785 0.42 6.49020977529068e-174 "0" "RDX"
"ARF4" 1.03685006911729e-177 0.306953444097984 0.833 0.471 2.42612547672754e-173 "0" "ARF4"
"NDUFS8" 1.13276391829176e-177 0.433161735195858 0.987 0.833 2.6505542924109e-173 "0" "NDUFS8"
"SIGLEC15" 8.38781267923293e-177 0.438131028151508 0.952 0.628 1.96266428881371e-172 "0" "SIGLEC15"
"RHOF" 4.99377427398905e-176 0.255306330493832 0.533 0.218 1.1684932423707e-171 "0" "RHOF"
"XBP1" 3.40263625781329e-174 0.251196123868337 0.697 0.327 7.96182857965731e-170 "0" "XBP1"
